song_popularity,song_duration_min,danceability,energy,key,loudness,audio_mode,speechiness,time_signature,tempo_category_numeric
66,4.4851,0.195,0.483,4,-4.9910000000000005,0,0.03,4,2.0
72,5.31355,0.299,0.4429999999999999,0,-12.621,1,0.0346,4,4.0
68,4.5262166666666666,0.64,0.6509999999999999,4,-14.981,0,0.0517,4,3.0
58,2.1893333333333334,0.565,0.953,9,-6.504,1,0.0393,4,4.0
55,4.643766666666667,0.63,0.519,9,-10.997,1,0.0528,4,4.0
71,2.7088833333333335,0.523,0.402,0,-8.232999999999999,1,0.0305,4,1.0
71,2.36,0.6409999999999999,0.774,2,-5.916,1,0.0278,4,2.0
59,2.7744333333333335,0.35,0.293,2,-9.502,1,0.0258,4,2.0
67,3.42155,0.407,0.8340000000000001,6,-9.224,1,0.208,4,4.0
54,2.846,0.5579999999999999,0.6859999999999999,7,-4.495,1,0.0289,4,4.0
57,2.306,0.593,0.804,7,-5.497000000000001,1,0.0319,4,4.0
70,3.2008833333333335,0.389,0.396,7,-7.999,1,0.0332,3,5.0
57,2.9897666666666667,0.562,0.768,7,-6.613,1,0.0606,4,3.0
67,2.3486666666666665,0.377,0.916,4,-3.199,0,0.0481,4,1.0
64,4.23555,0.4029999999999999,0.7090000000000001,9,-9.366,1,0.0885,4,2.0
80,3.0551,0.491,0.583,7,-10.964,1,0.0376,4,4.0
75,4.512883333333333,0.634,0.63,1,-8.277000000000001,0,0.031,4,3.0
63,3.1708833333333333,0.425,0.903,1,-4.801,1,0.0732,4,3.0
47,2.7171,0.469,0.647,8,-13.913,1,0.0315,4,4.0
70,2.510666666666667,0.551,0.293,2,-12.503,1,0.0272,4,2.0
60,2.5686666666666667,0.7040000000000001,0.773,9,-9.621,1,0.0279,4,4.0
66,2.2397666666666667,0.39,0.625,9,-7.813,0,0.0537,4,4.0
61,2.4911,0.456,0.47,2,-9.564,1,0.0294,4,4.0
67,2.7351,0.705,0.515,4,-9.343,1,0.0337,4,3.0
38,4.200666666666667,0.585,0.6759999999999999,5,-11.267,1,0.0471,4,3.0
53,2.49555,0.3379999999999999,0.6679999999999999,2,-8.641,1,0.0421,5,4.0
58,3.24555,0.57,0.754,0,-9.948,1,0.031,4,4.0
50,2.23555,0.341,0.416,11,-9.574,1,0.0265,3,2.0
14,2.936,0.55,0.929,9,-5.765,1,0.0815,4,4.0
52,2.601766666666667,0.6459999999999999,0.813,9,-6.733,1,0.0434,4,4.0
49,2.8791,0.601,0.596,9,-8.029,1,0.0734,4,4.0
54,2.6375,0.421,0.664,11,-10.657,0,0.0665,4,6.0
52,3.9304333333333332,0.421,0.58,7,-7.011,1,0.0285,4,4.0
33,2.90955,0.4379999999999999,0.754,2,-7.035,1,0.0381,4,4.0
8,3.1641333333333335,0.355,0.7609999999999999,11,-6.309,1,0.0978,4,4.0
49,2.9711,0.341,0.7140000000000001,2,-7.997999999999999,0,0.0404,4,4.0
30,2.9571,0.68,0.507,7,-5.928999999999999,1,0.0336,4,4.0
55,2.6733333333333333,0.506,0.948,10,-5.626,1,0.105,4,4.0
40,3.029333333333333,0.3289999999999999,0.8059999999999999,1,-11.925,1,0.0596,4,4.0
42,3.5617666666666667,0.65,0.7979999999999999,9,-8.126,0,0.0541,4,3.0
62,3.1426666666666665,0.527,0.871,4,-8.708,1,0.0354,4,4.0
16,4.658666666666667,0.682,0.621,7,-9.653,1,0.0451,4,4.0
56,3.5773333333333333,0.364,0.768,9,-10.492,1,0.0757,4,4.0
42,2.7682,0.46,0.955,11,-6.684,1,0.0487,4,4.0
73,4.266666666666667,0.63,0.449,5,-13.243,1,0.0252,4,2.0
69,4.3139,0.619,0.22,0,-13.843,1,0.0667,4,1.0
74,4.30685,0.659,0.6779999999999999,0,-8.18,1,0.0313,4,2.0
76,3.4377666666666666,0.475,0.322,7,-10.687,1,0.0283,4,2.0
64,3.568,0.601,0.574,2,-8.166,1,0.03,4,4.0
71,3.8926666666666665,0.684,0.248,0,-10.505,1,0.0435,4,3.0
72,2.598,0.62,0.446,1,-14.451,0,0.0347,4,2.0
70,3.1168833333333335,0.541,0.4589999999999999,4,-10.433,0,0.0297,4,5.0
13,3.60955,0.609,0.368,10,-13.338,1,0.0294,4,2.0
80,4.69355,0.602,0.522,10,-9.031,1,0.0285,4,4.0
65,4.781333333333333,0.664,0.5529999999999999,9,-7.723,1,0.0264,4,3.0
64,4.6193333333333335,0.28,0.344,0,-12.577,1,0.0293,3,5.0
78,4.6871,0.5379999999999999,0.7040000000000001,1,-8.904,0,0.0332,4,4.0
76,2.6922166666666665,0.674,0.537,1,-10.970999999999998,0,0.0363,4,3.0
78,4.050433333333333,0.4429999999999999,0.4029999999999999,0,-8.339,1,0.0322,4,4.0
71,2.7468833333333333,0.626,0.816,9,-10.593,1,0.13,4,2.0
62,3.3357666666666668,0.784,0.4589999999999999,0,-10.446,1,0.0304,4,2.0
69,4.522216666666667,0.4529999999999999,0.4639999999999999,2,-10.96,1,0.0431,4,2.0
60,3.826,0.603,0.252,2,-12.402,1,0.0337,4,4.0
59,2.8459833333333333,0.6609999999999999,0.518,6,-10.061,0,0.0319,4,4.0
67,3.7950833333333334,0.502,0.4,7,-13.697,0,0.0294,4,4.0
71,2.9422166666666665,0.713,0.258,9,-14.59,1,0.0384,4,2.0
